ID,DATE,CURRENCY,"PX_LAST(dates=RANGE(2010-01-01,2022-03-01))"
IOIPG MK Equity,2015-08-25,MYR,1.72677192
IOIPG MK Equity,2015-08-26,MYR,1.7546230799999998
IOIPG MK Equity,2015-08-27,MYR,1.79175796
IOIPG MK Equity,2015-08-28,MYR,1.69892076
IOIPG MK Equity,2015-08-29,MYR,
IOIPG MK Equity,2015-08-30,MYR,
IOIPG MK Equity,2015-08-31,MYR,
IOIPG MK Equity,2015-09-01,MYR,1.73605564
IOIPG MK Equity,2015-09-02,MYR,1.8103254
IOIPG MK Equity,2015-09-03,MYR,1.79175796
IOIPG MK Equity,2015-09-04,MYR,1.79175796
IOIPG MK Equity,2015-09-05,MYR,
IOIPG MK Equity,2015-09-06,MYR,
IOIPG MK Equity,2015-09-07,MYR,1.7639067999999998
IOIPG MK Equity,2015-09-08,MYR,1.78247424
IOIPG MK Equity,2015-09-09,MYR,1.8103254
IOIPG MK Equity,2015-09-10,MYR,1.81960912
IOIPG MK Equity,2015-09-11,MYR,1.8103254
IOIPG MK Equity,2015-09-12,MYR,
IOIPG MK Equity,2015-09-13,MYR,
IOIPG MK Equity,2015-09-14,MYR,1.82889284
IOIPG MK Equity,2015-09-15,MYR,1.78247424
IOIPG MK Equity,2015-09-16,MYR,
IOIPG MK Equity,2015-09-17,MYR,1.78247424
IOIPG MK Equity,2015-09-18,MYR,1.8103254
IOIPG MK Equity,2015-09-19,MYR,
IOIPG MK Equity,2015-09-20,MYR,
IOIPG MK Equity,2015-09-21,MYR,1.80104168
IOIPG MK Equity,2015-09-22,MYR,1.81960912
IOIPG MK Equity,2015-09-23,MYR,1.7546230799999998
IOIPG MK Equity,2015-09-24,MYR,
IOIPG MK Equity,2015-09-25,MYR,1.80104168
IOIPG MK Equity,2015-09-26,MYR,
IOIPG MK Equity,2015-09-27,MYR,
IOIPG MK Equity,2015-09-28,MYR,1.80104168
IOIPG MK Equity,2015-09-29,MYR,1.81960912
IOIPG MK Equity,2015-09-30,MYR,1.83817656
IOIPG MK Equity,2015-10-01,MYR,1.84746028
IOIPG MK Equity,2015-10-02,MYR,1.9031625999999997
IOIPG MK Equity,2015-10-03,MYR,
IOIPG MK Equity,2015-10-04,MYR,
IOIPG MK Equity,2015-10-05,MYR,1.9217300399999997
IOIPG MK Equity,2015-10-06,MYR,2.00528352
IOIPG MK Equity,2015-10-07,MYR,2.00528352
IOIPG MK Equity,2015-10-08,MYR,2.03313468
IOIPG MK Equity,2015-10-09,MYR,2.0609858400000003
IOIPG MK Equity,2015-10-10,MYR,
IOIPG MK Equity,2015-10-11,MYR,
IOIPG MK Equity,2015-10-12,MYR,2.0795532800000003
IOIPG MK Equity,2015-10-13,MYR,2.088837
IOIPG MK Equity,2015-10-14,MYR,
IOIPG MK Equity,2015-10-15,MYR,2.01456724
IOIPG MK Equity,2015-10-16,MYR,1.9959997999999999
IOIPG MK Equity,2015-10-17,MYR,
IOIPG MK Equity,2015-10-18,MYR,
IOIPG MK Equity,2015-10-19,MYR,1.9681486400000001
IOIPG MK Equity,2015-10-20,MYR,
IOIPG MK Equity,2015-10-21,MYR,2.0238509600000003
IOIPG MK Equity,2015-10-22,MYR,2.10740444
IOIPG MK Equity,2015-10-23,MYR,2.12597188
IOIPG MK Equity,2015-10-24,MYR,
IOIPG MK Equity,2015-10-25,MYR,
IOIPG MK Equity,2015-10-26,MYR,2.0424184000000003
IOIPG MK Equity,2015-10-27,MYR,2.01456724
IOIPG MK Equity,2015-10-28,MYR,1.98671608
IOIPG MK Equity,2015-10-29,MYR,1.8845951599999997
IOIPG MK Equity,2015-10-30,MYR,1.87531144
IOIPG MK Equity,2015-10-31,MYR,
IOIPG MK Equity,2015-11-01,MYR,
IOIPG MK Equity,2015-11-02,MYR,1.94029748
IOIPG MK Equity,2015-11-03,MYR,2.0238509600000003
IOIPG MK Equity,2015-11-04,MYR,2.00528352
IOIPG MK Equity,2015-11-05,MYR,2.00528352
IOIPG MK Equity,2015-11-06,MYR,1.97743236
IOIPG MK Equity,2015-11-07,MYR,
IOIPG MK Equity,2015-11-08,MYR,
IOIPG MK Equity,2015-11-09,MYR,1.95886492
IOIPG MK Equity,2015-11-10,MYR,
IOIPG MK Equity,2015-11-11,MYR,1.94029748
IOIPG MK Equity,2015-11-12,MYR,1.94029748
IOIPG MK Equity,2015-11-13,MYR,1.94029748
IOIPG MK Equity,2015-11-14,MYR,
IOIPG MK Equity,2015-11-15,MYR,
IOIPG MK Equity,2015-11-16,MYR,1.94029748
IOIPG MK Equity,2015-11-17,MYR,1.97743236
IOIPG MK Equity,2015-11-18,MYR,1.9959997999999999
IOIPG MK Equity,2015-11-19,MYR,1.9217300399999997
IOIPG MK Equity,2015-11-20,MYR,1.94029748
IOIPG MK Equity,2015-11-21,MYR,
IOIPG MK Equity,2015-11-22,MYR,
IOIPG MK Equity,2015-11-23,MYR,1.94029748
IOIPG MK Equity,2015-11-24,MYR,1.9681486400000001
IOIPG MK Equity,2015-11-25,MYR,1.9031625999999997
IOIPG MK Equity,2015-11-26,MYR,1.9681486400000001
IOIPG MK Equity,2015-11-27,MYR,2.00528352
IOIPG MK Equity,2015-11-28,MYR,
IOIPG MK Equity,2015-11-29,MYR,
IOIPG MK Equity,2015-11-30,MYR,2.0424184000000003
IOIPG MK Equity,2015-12-01,MYR,2.088837
IOIPG MK Equity,2015-12-02,MYR,2.088837
IOIPG MK Equity,2015-12-03,MYR,2.088837
IOIPG MK Equity,2015-12-04,MYR,2.09812072
IOIPG MK Equity,2015-12-05,MYR,
IOIPG MK Equity,2015-12-06,MYR,
IOIPG MK Equity,2015-12-07,MYR,2.09812072
IOIPG MK Equity,2015-12-08,MYR,2.10740444
IOIPG MK Equity,2015-12-09,MYR,2.03313468
IOIPG MK Equity,2015-12-10,MYR,2.0424184000000003
IOIPG MK Equity,2015-12-11,MYR,1.9495812000000001
IOIPG MK Equity,2015-12-12,MYR,
IOIPG MK Equity,2015-12-13,MYR,
IOIPG MK Equity,2015-12-14,MYR,1.93101376
IOIPG MK Equity,2015-12-15,MYR,1.94029748
IOIPG MK Equity,2015-12-16,MYR,1.9681486400000001
IOIPG MK Equity,2015-12-17,MYR,2.0609858400000003
IOIPG MK Equity,2015-12-18,MYR,1.9959997999999999
IOIPG MK Equity,2015-12-19,MYR,
IOIPG MK Equity,2015-12-20,MYR,
IOIPG MK Equity,2015-12-21,MYR,1.9959997999999999
IOIPG MK Equity,2015-12-22,MYR,1.9959997999999999
IOIPG MK Equity,2015-12-23,MYR,2.0238509600000003
IOIPG MK Equity,2015-12-24,MYR,
IOIPG MK Equity,2015-12-25,MYR,
IOIPG MK Equity,2015-12-26,MYR,
IOIPG MK Equity,2015-12-27,MYR,
IOIPG MK Equity,2015-12-28,MYR,2.0609858400000003
IOIPG MK Equity,2015-12-29,MYR,2.088837
IOIPG MK Equity,2015-12-30,MYR,2.07026956
IOIPG MK Equity,2015-12-31,MYR,2.088837
IOIPG MK Equity,2016-01-01,MYR,
IOIPG MK Equity,2016-01-02,MYR,
IOIPG MK Equity,2016-01-03,MYR,
IOIPG MK Equity,2016-01-04,MYR,2.0424184000000003
IOIPG MK Equity,2016-01-05,MYR,2.0609858400000003
IOIPG MK Equity,2016-01-06,MYR,2.12597188
IOIPG MK Equity,2016-01-07,MYR,2.12597188
IOIPG MK Equity,2016-01-08,MYR,2.12597188
IOIPG MK Equity,2016-01-09,MYR,
IOIPG MK Equity,2016-01-10,MYR,
IOIPG MK Equity,2016-01-11,MYR,2.1352556
IOIPG MK Equity,2016-01-12,MYR,2.1352556
IOIPG MK Equity,2016-01-13,MYR,2.14453932
IOIPG MK Equity,2016-01-14,MYR,2.14453932
IOIPG MK Equity,2016-01-15,MYR,2.12597188
IOIPG MK Equity,2016-01-16,MYR,
IOIPG MK Equity,2016-01-17,MYR,
IOIPG MK Equity,2016-01-18,MYR,2.0609858400000003
IOIPG MK Equity,2016-01-19,MYR,2.10740444
IOIPG MK Equity,2016-01-20,MYR,2.05170212
